In an absolute loading scheme which loader function is accomplished by programmer?,A.Reallocation,B.Linking      ,C.Allocation,D.Both b and c,D.Both b and c
 Specialized program that allows user to utilize in specific application is classified as ?,A.relative programs,B.application programs,C.replicate programs,D.making programs,B.application programs
Examples of system programs includes?,A.compiler,B.operating system of computer,C.trace program,D.all of above,D.all of above
 Translator for low level programming language were termed as ?,A.Assembler,B.Compiler,C.Linker,D.Loader,A.Assembler
The translator which perform macro expansion is called a ? ,A.Macro processor,B.Macro pre-processor,C.Micro pre-processor,D.Assembler,B.Macro pre-processor
A program in execution is called ? ,A.Function,B.Procedure,C.Instruction,D.Process,D.Process
Assembler is a machine dependent because of?,A.Mnemonics operation table(MOT),B.Pseudo operation table(POT),C.Macro definition table(MDT),D.Argument list array(ALA),A.Mnemonics operation table(MOT)
Macro processor is an inbuilt function of ?,A.Loader,B.Assembler,C.Linker,D.Editor,B.Assembler
When referring to instruction words a mnemonic is?,A.shorthand for machine language,B.a short abbreviation for the data word stored at the operand address,C.a short abbreviation for the operation to be performed,D.a short abbreviation for the operand address,C.a short abbreviation for the operation to be performed
Which bus is bidirectional?,A.multiplexed bus,B.address bus,C.control bus,D.data bus,D.data bus
